game,rl_player,rl_team,winner,turns,capped,score_a,score_b,total_reward,avg_reward_recent,win_rate_recent,policy_loss,entropy,avg_selected_action_prob,grad_norm,weight_delta_norm,learning_rate,epsilon,temperature,decisions,explored_actions,sampled_actions,greedy_actions,checkpoint_path,eval_win_rate,eval_avg_reward,warning
795,2,A,B,353,False,5,8,-525.06015625,-119.34298437500003,0.39,-4.461461544036865,0.43054306507110596,0.7824770497048602,5.82386911911186,0.00026119343215056485,1e-05,0.1,1.0,34,1,33,0,,,,
796,3,B,B,335,False,6,8,498.7484375,-109.45409375000001,0.4,-22.37753677368164,0.6717017889022827,0.642958700461963,57.24449269831716,0.00027381186163238794,1e-05,0.1,1.0,43,3,40,0,,,,
797,0,A,B,247,False,5,8,-505.3640625,-119.39217187500005,0.39,-6.702389240264893,0.626684308052063,0.5900768460358969,27.850796193601358,0.0002541493998632808,1e-05,0.1,1.0,42,1,41,0,,,,
798,1,B,A,382,False,8,5,-551.0625,-120.00071875000002,0.39,-10.800619125366211,0.6350499391555786,0.6061508207035323,46.41680101504245,0.0002798976955212031,1e-05,0.1,1.0,57,4,53,0,,,,
799,2,A,B,336,False,7,8,-501.203125,-129.94651562500005,0.38,36.4100227355957,0.5040180087089539,0.6590841564409035,63.78027276275154,0.00025402824900906364,1e-05,0.1,1.0,40,6,34,0,,,,
800,3,B,B,144,False,2,8,534.3765625,-129.68809375000004,0.38,-3.421234130859375,0.42245978116989136,0.6842518368397247,17.80900829805806,0.00023174845576087592,1e-05,0.1,1.0,22,0,22,0,,,,
801,0,A,B,233,False,6,8,-490.534375,-139.30943750000003,0.37,0.852376401424408,0.47518932819366455,0.6947556097920125,20.552704526328835,0.00020516385245105307,1e-05,0.1,1.0,26,5,21,0,,,,
802,1,B,A,205,False,8,4,-497.61171875,-138.69966406250003,0.37,-3.205758571624756,0.6494297981262207,0.5745171961289915,20.35936202537153,0.00018888496205247057,1e-05,0.1,1.0,22,1,21,0,,,,
803,2,A,B,423,False,7,8,-486.10312500000003,-138.42555468750004,0.37,-3.9488883018493652,0.5343155860900879,0.668851477760699,48.713985851156345,0.0003511558981698496,1e-05,0.1,1.0,61,7,54,0,,,,
804,3,B,B,322,False,6,8,500.25624999999997,-128.39934375,0.38,5.591447830200195,0.650223433971405,0.6124223767813206,96.47948783021259,0.00034683396202054006,1e-05,0.1,1.0,47,8,39,0,,,,
